# Grouping of all relevant ligands found in the BioLiP database as of June 28, 2017
# The 4 nucleic acids entries ("NUCACID_") include: NUCDNA, NUCDNAB, NUCRNA, NUCRNAB
# The 2 DNA entries ("DNA_") include: NUCDNA, NUCDNAB
# The 2 RNA entries ("RNA_") include: NUCRNA, NUCRNAB
# All 204 ion entries ("ION_") were extracted from wwPDB's Chemical Component Dictionary (http://www.wwpdb.org/data/ccd),
#  accessed August 9, 2016
# All 8307 drug entries ("DRUGLIKE_") were identified by comparing ligand SMILES strings (Tanimoto coefficient > 0.9) 
#  to drug SMILES strings obtained from DrugBank (http://www.drugbank.ca/), accessed August 9, 2016
# All 1301 metabolite entries ("METABOLITE_") were identified by comparing ligand SMILES strings (Tanimoto coefficient > 0.9) 
#  to *endogenous metabolite* SMILES strings obtained from the Human Metabolome Database
#  (http://www.hmdb.ca/system/downloads/current/hmdb_metabolites.zip), accessed October 19, 2016
#group_name	original_ligand_mmCIF_identifier
METABOLITE_	ATP
METABOLITE_	ATR
METABOLITE_	AZ1
METABOLITE_	AZE
METABOLITE_	B1P
METABOLITE_	B2G
METABOLITE_	B3H
METABOLITE_	B3S
METABOLITE_	B4G
METABOLITE_	B4P
METABOLITE_	B61
METABOLITE_	B6P
METABOLITE_	B7G
METABOLITE_	B81
METABOLITE_	B8D
METABOLITE_	BA3
METABOLITE_	BAL
METABOLITE_	BCR
METABOLITE_	BCT
METABOLITE_	BDF
METABOLITE_	BDH
METABOLITE_	BDP
METABOLITE_	BDR
METABOLITE_	BDT
METABOLITE_	BEM
METABOLITE_	BEO
METABOLITE_	BET
METABOLITE_	BFC
METABOLITE_	BFP
METABOLITE_	BGC
METABOLITE_	BGN
METABOLITE_	BH4
METABOLITE_	BHE
METABOLITE_	BHG
METABOLITE_	BHS
METABOLITE_	BIB
METABOLITE_	BIO
METABOLITE_	BIV
METABOLITE_	BKA
METABOLITE_	BLR
METABOLITE_	BM3
METABOLITE_	BM7
METABOLITE_	BMA
METABOLITE_	BNG
METABOLITE_	BOG
METABOLITE_	BR8
METABOLITE_	BRI
METABOLITE_	BTA
METABOLITE_	BTC
METABOLITE_	BTK
METABOLITE_	BTU
METABOLITE_	BUA
METABOLITE_	BUG
METABOLITE_	BUP
METABOLITE_	BXC
METABOLITE_	BXP
METABOLITE_	BXX
METABOLITE_	BXY
METABOLITE_	C
METABOLITE_	C0R
METABOLITE_	C25
METABOLITE_	C2G
METABOLITE_	C2P
